Application/Product,Developer/Company,Source (US/Foreign),org,name,rev,Web Site,License,License URL
Ant-Contrib,Matt Inger and Curt Arnold,US,ant-contrib,ant-contrib,1.0b3,http://ant-contrib.sourceforge.net,Apache license 2.0,http://www.apache.org/licenses/
Apache Commons Daemon,Apache Commons Project,Foreign?,commons-daemon,commons-daemon,1.2.4,http://commons.apache.org/proper/commons-daemon/,Apache license 2.0,http://www.apache.org/licenses/
Apache Commons DBCP,Apache Commons Project,Foreign?,commons-dbcp,commons-dbcp,1.4,http://commons.apache.org/proper/commons-dbcp/,Apache license 2.0,http://www.apache.org/licenses/
Apache Commons FileUpload,Apache Commons Project,Foreign?,commons-fileupload,commons-fileupload,1.4,http://commons.apache.org/proper/commons-fileupload/,Apache license 2.0,http://www.apache.org/licenses/
Berkeley DB,Oracle,US,,,5.3.28,http://www.oracle.com/,Berkeley DB License (BSD-like),
"Berkeley DB, Java Edition",Oracle,US,com.sleepycat,je,18.3.12,http://www.oracle.com/,Apache license 2.0,https://docs.oracle.com/cd/E17277_02/html/LICENSE.txt
Boost Libraries,Boost Community,"Mixed, US Chair",,,1.77.0,https://www.boost.org/,Boost software license,http://www.boost.org/users/license.html
GeoTools EPSG Extensions,GeoTools Project,Foreign (Italy),org.geotools,gt-epsg-extension,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools EPSG HSQL Authority,GeoTools Project,Foreign (Italy),org.geotools,gt-epsg-hsql,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools EPSG WKT Authority,GeoTools Project,Foreign (Italy),org.geotools,gt-epsg-wkt,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools Coord. Ref. Systems,GeoTools Project,Foreign (Italy),org.geotools,gt-referencing,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools Core XML Support,GeoTools Project,Foreign (Italy),org.geotools.xsd,gt-xsd-core,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools GML3 XML Support,GeoTools Project,Foreign (Italy),org.geotools.xsd,gt-xsd-gml3,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
GeoTools KML XML Support,GeoTools Project,Foreign (Italy),org.geotools.xsd,gt-xsd-kml,24.2,http://www.geotools.org/,LGPL,http://www.gnu.org/copyleft/lesser.html
httpclient,Apache HttpComponents Project,Mixed,org.apache.httpcomponents,httpclient,4.5.2,http://hc.apache.org/,Apache license 2.0,http://www.apache.org/licenses/
Jena ARQ,Andy Seabourne,Foreign (Britain),org.apache.jena,jena-arq,2.9.4,http://jena.apache.org/,Apache license 2.0,http://www.apache.org/licenses/
Jetty (apache-jsp),Eclipse Foundation,Mixed,org.eclipse.jetty,apache-jsp,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
Jetty (apache-jstl),Eclipse Foundation,Mixed,org.eclipse.jetty,apache-jstl,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
Jetty (jetty-annotations),Eclipse Foundation,Mixed,org.eclipse.jetty,jetty-annotations,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
Jetty (jetty-deploy),Eclipse Foundation,Mixed,org.eclipse.jetty,jetty-deploy,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
Jetty (jetty-jmx),Eclipse Foundation,Mixed,org.eclipse.jetty,jetty-jmx,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
Jetty (jetty-security),Eclipse Foundation,Mixed,org.eclipse.jetty,jetty-security,9.4.36.v20210114,http://www.eclipse.org/jetty,Apache license 2.0 or Eclipse Public License 1.0,"http://www.apache.org/licenses/, http://www.eclipse.org/legal/epl-v10.html"
